,Player,Team,Year,Conf,Age,Games,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,MPpg,PTSpg,FGpg,3Ppg,FTpg,ORBpg,DRBpg,TRBpg,ASTpg,STLpg,BLKpg,TOVpg,PFpg,Target
0,James Bailey,SEA,1979,WEST,22,67,726,312,122,271,0.45,0,0,0,68,101,0.673,71,126,197,28,21,54,79,116,10.84,4.7,1.82,0,1.01,1.06,1.88,2.9,0.4,0.31,0.81,1.18,1.73,1
1,Billy Ray Bates,POR,1980,WEST,23,16,235,180,72,146,0.493,8,19,0.421,28,39,0.718,13,16,29,31,14,2,20,26,14.69,11.3,4.5,0.5,1.75,0.81,1,1.8,1.9,0.88,0.12,1.25,1.62,1
2,Larry Bird*,BOS,1979,EAST,23,82,2955,1745,693,1463,0.474,58,143,0.406,301,360,0.836,216,636,852,370,143,53,263,279,36.04,21.3,8.45,0.71,3.67,2.63,7.76,10.4,4.5,1.74,0.65,3.21,3.4,1
3,Lawrence Boston,WSB,1980,EAST,23,13,125,56,24,52,0.462,0,0,0,8,13,0.615,19,20,39,2,4,2,8,25,9.62,4.3,1.85,0,0.62,1.46,1.54,3,0.2,0.31,0.15,0.62,1.92,0
4,Dudley Bradley,IND,1979,EAST,22,82,2027,688,275,609,0.452,2,5,0.4,136,174,0.782,69,154,223,252,211,48,166,194,24.72,8.4,3.35,0.02,1.66,0.84,1.88,2.7,3.1,2.57,0.59,2.02,2.37,1
5,Bill Cartwright,NYK,1979,EAST,22,82,3150,1781,665,1215,0.547,0,0,0,451,566,0.797,194,532,726,165,48,101,222,279,38.41,21.7,8.11,0,5.5,2.37,6.49,8.9,2,0.59,1.23,2.71,3.4,1
6,Jeff Cook,PHO,1979,WEST,23,66,904,362,129,275,0.469,0,3,0,104,129,0.806,90,151,241,84,28,18,71,102,13.7,5.5,1.95,0,1.58,1.36,2.29,3.7,1.3,0.42,0.27,1.08,1.55,1
7,Hollis Copeland,NYK,1979,EAST,24,75,1142,427,182,368,0.495,0,2,0,63,86,0.733,70,86,156,80,61,25,84,154,15.23,5.7,2.43,0,0.84,0.93,1.15,2.1,1.1,0.81,0.33,1.12,2.05,0
8,John Coughran,GSW,1979,WEST,28,24,160,68,29,81,0.358,2,9,0.222,8,14,0.571,2,17,19,12,7,1,13,24,6.67,2.8,1.21,0.08,0.33,0.08,0.71,0.8,0.5,0.29,0.04,0.54,1,0
9,Terry Crosby,KCK,1979,WEST,23,4,28,6,2,4,0.5,0,0,0,2,2,1,0,1,1,7,0,0,5,4,7,1.5,0.5,0,0.5,0,0.25,0.3,1.8,0,0,1.25,1,0
10,Pat Cummings,MIL,1979,EAST,23,71,900,468,187,370,0.505,0,0,0,94,123,0.764,81,157,238,53,22,17,74,141,12.68,6.6,2.63,0,1.32,1.14,2.21,3.4,0.7,0.31,0.24,1.04,1.99,1
11,Paul Dawkins,UTA,1979,WEST,22,57,776,316,141,300,0.47,1,5,0.2,33,48,0.688,42,83,125,77,33,9,76,112,13.61,5.5,2.47,0.02,0.58,0.74,1.46,2.2,1.4,0.58,0.16,1.33,1.96,0
12,Greg Deane,UTA,1979,WEST,22,7,48,10,2,11,0.182,1,1,1,5,7,0.714,2,4,6,6,0,0,3,3,6.86,1.4,0.29,0.14,0.71,0.29,0.57,0.9,0.9,0,0,0.43,0.43,0
13,Larry Demic,NYK,1979,EAST,22,82,1872,570,230,528,0.436,0,0,0,110,183,0.601,195,288,483,64,56,30,168,306,22.83,7,2.8,0,1.34,2.38,3.51,5.9,0.8,0.68,0.37,2.05,3.73,1
14,Terry Duerod,DET,1979,EAST,23,67,1331,624,282,598,0.472,15,53,0.283,45,66,0.682,29,69,98,117,41,11,79,102,19.87,9.3,4.21,0.22,0.67,0.43,1.03,1.5,1.7,0.61,0.16,1.18,1.52,1
15,Earl Evans,DET,1979,EAST,24,36,381,157,63,140,0.45,7,18,0.389,24,42,0.571,26,49,75,37,14,1,36,64,10.58,4.4,1.75,0.19,0.67,0.72,1.36,2.1,1,0.39,0.03,1,1.78,0
16,Mike Evans,SAS,1979,WEST,24,79,1246,486,208,464,0.448,12,42,0.286,58,85,0.682,29,78,107,230,60,9,128,194,15.77,6.2,2.63,0.15,0.73,0.37,0.99,1.4,2.9,0.76,0.11,1.62,2.46,1
17,Gary Garland,DEN,1979,WEST,22,78,1106,334,155,356,0.435,6,19,0.316,18,26,0.692,50,88,138,145,54,4,73,80,14.18,4.3,1.99,0.08,0.23,0.64,1.13,1.8,1.9,0.69,0.05,0.94,1.03,0
18,Dave Greenwood,CHI,1979,EAST,22,82,2791,1334,498,1051,0.474,1,7,0.143,337,416,0.81,223,550,773,182,60,129,210,313,34.04,16.3,6.07,0.01,4.11,2.72,6.71,9.4,2.2,0.73,1.57,2.56,3.82,1
19,Roy Hamilton,DET,1979,EAST,22,72,1116,333,115,287,0.401,0,2,0,103,150,0.687,45,62,107,192,48,5,118,82,15.5,4.6,1.6,0,1.43,0.62,0.86,1.5,2.7,0.67,0.07,1.64,1.14,0
20,Gerald Henderson,BOS,1979,EAST,24,76,1061,473,191,382,0.5,2,6,0.333,89,129,0.69,37,46,83,147,45,15,109,96,13.96,6.2,2.51,0.03,1.17,0.49,0.61,1.1,1.9,0.59,0.2,1.43,1.26,1
21,Johnny High,PHO,1979,WEST,22,82,1121,409,144,323,0.446,1,7,0.143,120,178,0.674,69,104,173,119,71,15,123,172,13.67,5,1.76,0.01,1.46,0.84,1.27,2.1,1.5,0.87,0.18,1.5,2.1,1
22,Brad Holland,LAL,1979,WEST,23,38,197,106,44,104,0.423,3,15,0.2,15,16,0.938,4,13,17,22,15,1,13,24,5.18,2.8,1.16,0.08,0.39,0.11,0.34,0.4,0.6,0.39,0.03,0.34,0.63,1
23,Phil Hubbard,DET,1979,EAST,23,64,1189,585,210,451,0.466,0,2,0,165,220,0.75,114,206,320,70,48,10,120,202,18.58,9.1,3.28,0,2.58,1.78,3.22,5,1.1,0.75,0.16,1.88,3.16,1
24,Geoff Huston,NYK,1979,EAST,22,71,923,219,94,241,0.39,3,17,0.176,28,38,0.737,14,44,58,159,39,5,73,83,13,3.1,1.32,0.04,0.39,0.2,0.62,0.8,2.2,0.55,0.07,1.03,1.17,1
25,Abdul Jeelani,POR,1979,WEST,25,77,1286,737,288,565,0.51,0,6,0,161,204,0.789,114,156,270,95,40,40,117,155,16.7,9.6,3.74,0,2.09,1.48,2.03,3.5,1.2,0.52,0.52,1.52,2.01,0
26,Cheese Johnson,GSW,1980,WEST,22,9,53,27,12,30,0.4,0,0,0,3,5,0.6,6,8,14,2,1,0,4,11,5.89,3,1.33,0,0.33,0.67,0.89,1.6,0.2,0.11,0,0.44,1.22,0
27,Magic Johnson*,LAL,1979,WEST,20,77,2795,1387,503,949,0.53,7,31,0.226,374,462,0.81,166,430,596,563,187,41,305,218,36.3,18,6.53,0.09,4.86,2.16,5.58,7.7,7.3,2.43,0.53,3.96,2.83,1
28,Vinnie Johnson,SEA,1979,WEST,23,38,325,121,45,115,0.391,0,1,0,31,39,0.795,19,36,55,54,19,4,42,40,8.55,3.2,1.18,0,0.82,0.5,0.95,1.4,1.4,0.5,0.11,1.11,1.05,1
29,Major Jones,HOU,1979,EAST,26,82,1545,438,188,392,0.48,1,3,0.333,61,108,0.565,147,234,381,67,50,67,112,186,18.84,5.3,2.29,0.01,0.74,1.79,2.85,4.6,0.8,0.61,0.82,1.37,2.27,1
30,Greg Kelser,DET,1979,EAST,22,50,1233,709,280,593,0.472,3,15,0.2,146,203,0.719,124,152,276,108,60,34,140,176,24.66,14.2,5.6,0.06,2.92,2.48,3.04,5.5,2.2,1.2,0.68,2.8,3.52,1
31,Irv Kiffin,SAS,1979,WEST,28,26,212,82,32,96,0.333,0,0,0,18,25,0.72,12,28,40,19,10,2,30,43,8.15,3.2,1.23,0,0.69,0.46,1.08,1.5,0.7,0.38,0.08,1.15,1.65,0
32,Carl Kilpatrick,UTA,1980,WEST,23,2,6,3,1,2,0.5,0,0,0,1,2,0.5,1,3,4,0,0,0,0,1,3,1.5,0.5,0,0.5,0.5,1.5,2,0,0,0,0,0.5,0
33,Reggie King,KCK,1979,WEST,22,82,2052,673,257,499,0.515,0,1,0,159,219,0.726,184,382,566,106,69,31,100,230,25.02,8.2,3.13,0,1.94,2.24,4.66,6.9,1.3,0.84,0.38,1.22,2.8,1
34,Arvid Kramer,DEN,1980,WEST,23,8,45,16,7,22,0.318,0,0,0,2,2,1,6,6,12,3,0,5,5,8,5.62,2,0.88,0,0.25,0.75,0.75,1.5,0.4,0,0.62,0.62,1,0
35,Allen Leavell,HOU,1979,EAST,22,77,2123,843,330,656,0.503,3,19,0.158,180,221,0.814,57,127,184,417,127,28,205,197,27.57,10.9,4.29,0.04,2.34,0.74,1.65,2.4,5.4,1.65,0.36,2.66,2.56,1
36,Ollie Mack,LAL,1979,WEST,22,50,681,234,98,199,0.492,0,5,0,38,51,0.745,32,39,71,53,24,3,35,50,13.62,4.7,1.96,0,0.76,0.64,0.78,1.4,1.1,0.48,0.06,0.7,1,1
37,Steve Malovic,WSB,1979,EAST,23,39,445,80,31,67,0.463,0,0,0,18,27,0.667,36,50,86,26,8,6,23,51,11.41,2.1,0.79,0,0.46,0.92,1.28,2.2,0.7,0.21,0.15,0.59,1.31,0
38,Paul Mokeski,HOU,1979,EAST,23,12,113,29,11,33,0.333,0,0,0,7,9,0.778,14,15,29,2,1,6,10,24,9.42,2.4,0.92,0,0.58,1.17,1.25,2.4,0.2,0.08,0.5,0.83,2,1
39,Sidney Moncrief*,MIL,1979,EAST,22,77,1557,654,211,451,0.468,0,1,0,232,292,0.795,154,184,338,133,72,16,117,106,20.22,8.5,2.74,0,3.01,2,2.39,4.4,1.7,0.94,0.21,1.52,1.38,1
40,Calvin Natt,NJN,1979,EAST,23,78,2857,1553,622,1298,0.479,3,9,0.333,306,419,0.73,239,452,691,169,102,34,198,205,36.63,19.9,7.97,0.04,3.92,3.06,5.79,8.9,2.2,1.31,0.44,2.54,2.63,1
41,Sylvester Norris,SAS,1979,WEST,22,17,189,40,18,43,0.419,0,0,0,4,6,0.667,10,33,43,6,3,12,19,41,11.12,2.4,1.06,0,0.24,0.59,1.94,2.5,0.4,0.18,0.71,1.12,2.41,0
42,Jim Paxson,POR,1979,WEST,22,72,1270,443,189,460,0.411,1,22,0.045,64,90,0.711,25,84,109,144,48,5,93,97,17.64,6.2,2.62,0.01,0.89,0.35,1.17,1.5,2,0.67,0.07,1.29,1.35,1
43,Wiley Peck,SAS,1979,WEST,22,52,628,180,73,169,0.432,0,2,0,34,55,0.618,66,117,183,33,17,23,48,100,12.08,3.5,1.4,0,0.65,1.27,2.25,3.5,0.6,0.33,0.44,0.92,1.92,0
44,Sam Pellom,ATL,1979,EAST,28,44,373,109,44,108,0.407,0,0,0,21,30,0.7,28,64,92,18,12,12,18,70,8.48,2.5,1,0,0.48,0.64,1.45,2.1,0.4,0.27,0.27,0.41,1.59,1
45,Clint Richardson,PHI,1979,EAST,23,52,988,347,159,348,0.457,1,3,0.333,28,45,0.622,55,68,123,107,24,15,64,97,19,6.7,3.06,0.02,0.54,1.06,1.31,2.4,2.1,0.46,0.29,1.23,1.87,1
46,Cliff Robinson,NJN,1979,EAST,19,70,1661,951,391,833,0.469,1,4,0.25,168,242,0.694,174,332,506,98,61,34,137,178,23.73,13.6,5.59,0.01,2.4,2.49,4.74,7.2,1.4,0.87,0.49,1.96,2.54,1
47,Jim Spanarkel,PHI,1979,EAST,22,40,442,198,72,153,0.471,0,2,0,54,65,0.831,27,27,54,51,12,6,57,58,11.05,5,1.8,0,1.35,0.68,0.68,1.4,1.3,0.3,0.15,1.42,1.45,1
48,Bernard Toone,PHI,1979,EAST,23,23,124,55,23,64,0.359,1,7,0.143,8,10,0.8,12,22,34,12,4,5,16,20,5.39,2.4,1,0.04,0.35,0.52,0.96,1.5,0.5,0.17,0.22,0.7,0.87,0
49,Duck Williams,UTA,1979,WEST,23,77,1794,506,232,519,0.447,0,12,0,42,60,0.7,21,85,106,183,100,11,107,166,23.3,6.6,3.01,0,0.55,0.27,1.1,1.4,2.4,1.3,0.14,1.39,2.16,0
50,Sly Williams,NYK,1979,EAST,22,57,556,266,104,267,0.39,0,4,0,58,90,0.644,65,56,121,36,19,8,49,73,9.75,4.7,1.82,0,1.02,1.14,0.98,2.1,0.6,0.33,0.14,0.86,1.28,1
51,Bubba Wilson,GSW,1979,WEST,24,16,143,17,7,25,0.28,0,0,0,3,6,0.5,6,10,16,12,2,0,8,11,8.94,1.1,0.44,0,0.19,0.38,0.62,1,0.8,0.12,0,0.5,0.69,0
52,Tony Zeno,IND,1979,EAST,22,8,59,14,6,21,0.286,0,0,0,2,2,1,3,11,14,1,4,3,9,13,7.38,1.8,0.75,0,0.25,0.38,1.38,1.8,0.1,0.5,0.38,1.12,1.62,0
53,Darrell Allums,DAL,1980,WEST,22,22,276,59,23,67,0.343,0,1,0,13,22,0.591,19,46,65,25,5,8,23,51,12.55,2.7,1.05,0,0.59,0.86,2.09,3,1.1,0.23,0.36,1.05,2.32,0
54,Norman Black,DET,1980,EAST,23,3,28,8,3,10,0.3,0,0,0,2,8,0.25,0,2,2,2,1,0,1,2,9.33,2.7,1,0,0.67,0,0.67,0.7,0.7,0.33,0,0.33,0.67,0
